name,address,city,latitude,longitude,phone,website,has_adoration,has_confessions,country
Ermita St. Elm,,,41.7746451,3.0274075,,,false,false,ES
Ermita de Sant Antoni,,,39.9344059,-0.0454843,,,false,false,ES
Ermita de Santa Quitèria,,,39.9546669,-0.0950711,,,false,false,ES
Ermita del Sant Crist del Calvari,,,40.2777457,-0.2092563,,,false,false,ES
Ermita de Santa Anna,,,39.3985682,-0.4313361,,,false,false,ES
l'Esperança,,,39.704874,3.4332879,,,false,false,ES
Ermita de Santa Bárbara,,,39.5199322,-1.1675252,,,false,false,ES
Iglesia de San Martín,,,41.7211692,0.1451323,,,false,false,ES
Igreja da Graça,,,39.0902756,-9.2587681,,,false,false,ES
Iglesia de la Inmaculada Concepción,,,39.8552305,-0.1531279,,,false,false,ES
Iglesia de San Vicente,,,43.130017,-4.7446741,,,false,false,ES
Ermita de l’Ecce Homo,,,39.8749122,-0.0853169,,,false,false,ES
Uba,,,43.3077165,-1.9588709,,,false,false,ES
Ermita de Sant Josep,,,40.085724,0.1445983,,,false,false,ES
Parroquia de Santiago,,,42.6722668,-1.8142647,,,false,false,ES
San Andrés Apóstol,,,42.6288437,-2.1037283,,,false,false,ES
Crypte,,,43.0974524,-0.0580396,,,false,false,ES
Santa Hermandad del Refugio,Calle de Tomás Crespo de Agüero 1-5,,41.6508473,-0.8923925,,,false,false,ES
Iglesia de Nuestra Señora de Monserrate,,,38.0593544,-0.9232046,,,false,false,ES
Santo Domingo,,Oviedo / Uviéu,43.3586352,-5.8418264,,,false,false,ES
Parroquia Santa Sofía,,,39.9458161,-0.0970779,,,false,false,ES
Església de Sant Bartomeu,,,40.0437924,-0.0728013,,,false,false,ES
Iglesia de Santo Tomás,,,43.4121117,-3.7013522,,,false,false,ES
Iglesia de Santa María,,,43.2224564,-3.8288195,,,false,false,ES
San Pedro,,,42.9128686,-2.1541916,,,false,false,ES
Sant Antolí,,,41.4948457,0.4577055,,,false,false,ES
Església de l'Esperit Sant,,,41.0801438,1.1799331,,,false,false,ES
Sant Daniel,,,41.7030394,2.7615981,,,false,false,ES
Parroquia Nuestra Señora De Nazaret,,,43.3184983,-3.022925,,,false,false,ES
Església de Sant Pere,,,40.244534,-0.2862171,,,false,false,ES
Andre Mari Zeruratuaren eliza,,,43.0486995,-2.196867,,,false,false,ES
Dios nuestro Padre,Jose Maria Sert plaza 7,Donostia / San Sebastián,43.3103573,-2.0058536,+34 943313639,,false,false,ES
Esgésia Parroquial de l'Assumpció,,,40.211861,0.0262761,,,false,false,ES
Ermita del Camino Viejo de Callosa,,,38.0938009,-0.9206439,,,false,false,ES
Ermita Nuestra Señora de la Fuensanta,,,38.0993395,-0.9083201,,,false,false,ES
Ermita del Santo Cristo,,,43.380363,-4.5561786,,,false,false,ES
Iglesia de Udrión,,,43.3595681,-5.966599,,,false,false,ES
San Juan de Priorio,,,43.3327337,-5.9229829,,,false,false,ES
Iglesia de San Pedro,,Terradillos de los Templarios,42.3637574,-4.8897985,,,false,false,ES
Iglesia del Salvador,,,42.4960583,-4.7564414,,,false,false,ES
Convento de Duruelo,,,40.834051,-5.1301338,,,false,false,ES
Església de Sant Francesc,,,40.0729003,-0.2117888,,,false,false,ES
Ermita de San Isidro,,,38.0952813,-0.9505087,,,false,false,ES
Iglesia de San Mamés,,,43.3663542,-3.6949358,,,false,false,ES
Ermita de Jesús del Monte,,,43.4080141,-3.6149325,,,false,false,ES
Capella de Sant Vicent Ferrer,,,39.9608065,-0.2617724,,,false,false,ES
La Resurrecció,,,39.5937963,2.651177,,,false,false,ES
Iglesia Santa María Magdalena,,,40.9990889,-6.6706222,,,false,false,ES
Iglesia de Santa María de Piasca,,,43.1193848,-4.580125,,,false,false,ES
Goiuriko Andra Mari parrokia,,,43.2654928,-2.9109833,,,false,false,ES
